鞍山三村    ,630,3, 102.5
华润置地橡树湾    ,2150,5, 302.73
祥生御江湾(公寓)    ,2318,5, 375.38
阳明新城    ,568,3, 89.79
耀浦苑    ,900,3, 128.78
三湘七星府邸    ,2280,4, 265.63
华润置地橡树湾    ,1900,5, 280
公园3000黄兴花园    ,830,3, 103.68
正文花园(二期)    ,880,3, 147.28
金宇名邸    ,1050,3, 141.72
和平花苑    ,830,3, 113.27
申润江涛苑    ,830,2, 98.36
金宇名邸    ,855,2, 118.52
金鹏花园    ,600,3, 101.17
开鲁二村    ,215,1, 45.89
凤城二村    ,310,2, 55.01
中原路99弄    ,225,1, 43.49
三门路510弄    ,270,1, 55.58
铁岭路90弄    ,425,2, 62
开鲁二村    ,470,3, 93.11
华升新苑    ,860,3, 126.04
涵碧景苑    ,1280,4, 163.3
润地华庭    ,1310,3, 138.19
控江一村    ,530,2, 69.05
北茶园    ,460,2, 69.48
三湘世纪花城    ,880,3, 130.18
现代星洲城    ,1050,3, 134.5
现代星洲城    ,1200,3, 181.77
建发璟墅    ,1970,4, 368
凤城二村    ,178,1, 35.35
铁岭路50弄    ,340,2, 51.57
北茶园    ,438,2, 69.46
凤城三村    ,185,1, 34.18
尚浦名邸    ,1428,3, 165.27
和平花苑    ,830,3, 112.09
沧州路180弄    ,378,2, 52.8
榆林路256号    ,330,2, 51.41
北茶园    ,390,2, 59
密云小区    ,415,1, 42.1
公交新村    ,435,2, 61.61
九龙仓玺园    ,1199,3, 136.72
鞍山一村第三小区    ,281,1, 40.25
九龙仓玺园    ,2700,4, 334.62
控江四村    ,296,2, 57.31
文化佳园    ,1037,3, 126.61
杨浦公寓    ,735,2, 97.72
城市方园    ,317,2, 70.06
台益公寓    ,485,2, 85.85
隆昌路542弄    ,550,6, 68
台益公寓    ,650,3, 121.3
双花公寓    ,375,2, 69.08
华升新苑    ,930,3, 125.03
金鹏花园    ,512,3, 85.66
华升新苑    ,970,3, 141.25
明昌公寓    ,480,2, 70.63
怡佳苑    ,249,1, 52.48
密云小区    ,485,2, 52
申润江涛苑    ,740,2, 103
新凤城    ,998,3, 112.71
嘉誉湾    ,1855,4, 218
金上海家园    ,1180,3, 146.8
铁岭路50弄    ,245,1, 40.77
凤凰大楼    ,668,2, 105.84
秦家弄小区    ,370,2, 58.56
明园大楼    ,430,2, 66.34
绿地海珀璞晖    ,1198,3, 126.81
凤城六村    ,360,2, 52.5
现代星洲城    ,770,2, 99.89
打虎大楼    ,495,2, 75.35
华润置地橡树湾    ,810,2, 86.16
密云小区    ,530,2, 55.53
松苑小区    ,345,2, 64.65
大连西路4弄    ,455,2, 48.5
辽源四村    ,310,1, 48.96
新凤城    ,628,2, 74.06
控江五村    ,325,2, 55.35
长白三村    ,310,2, 58.27
浣沙三村    ,650,2, 97.2
政肃路45弄    ,480,3, 69.23
水月坊    ,520,2, 67.47
鞍山四村第三小区    ,251,1, 39.81
长白路166号    ,195,1, 42.22
凤城路104弄    ,315,2, 44.56
翔殷心秀    ,590,2, 94.56
国富苑    ,650,2, 125.67
文化花园清华苑    ,830,4, 141.71
双喜家园    ,1300,4, 177.83
凤城三村    ,430,2, 70.18
密云小区    ,510,2, 52.68
申润江涛苑    ,780,2, 99.59
双辽新村    ,230,1, 40.05
大居苑    ,1000,3, 164.06
保利香槟苑    ,780,2, 93.32
佳龙花园    ,798,2, 101.08
银浦大楼    ,598,2, 89.75
金鹏花园    ,465,2, 70.94
苏家屯路29弄    ,470,2, 68.51
控江路1525弄    ,325,2, 57.93
三门路510弄    ,240,1, 51.1
海杨公寓    ,575,2, 88.33
开鲁四村    ,540,3, 98.94
张家浜小区    ,355,2, 54.87
抚顺路363弄    ,352,2, 46.37
广杭苑    ,740,2, 109.47
仁德路67弄10支弄    ,460,3, 78.16
北茶园    ,295,1, 48.5
珠江香樟南园    ,1100,3, 141.47
铁路新村(杨浦)    ,300,2, 49.79
圣骊河滨苑    ,685,2, 83.31
现代星洲城    ,898,2, 110.01
加州水郡    ,1400,3, 165.17
丹江新苑    ,650,2, 102.66
万登花苑    ,750,2, 100.15
尚浦名邸    ,1610,3, 190.28
政立小区    ,310,1, 59.97
密云小区    ,412,1, 39.46
三湘世纪花城    ,830,3, 123.36
保辉香景园    ,1430,3, 155
市光二村    ,330,3, 68.98
润地华庭    ,1370,3, 141.08
尚浦名邸    ,1088,2, 123.5
江浦路1275弄    ,350,2, 52.5
尚浦名邸    ,1080,2, 127.5
中环和乐苑    ,575,3, 84.83
铁岭路50弄    ,580,3, 85.66
同济欣苑    ,798,3, 135.21
铁路新村(杨浦)    ,336,2, 53.09
秦家弄小区    ,300,1, 42.8
国顺路389弄    ,330,2, 55.39
浣纱六村    ,450,2, 73.5
文化花园明珠苑    ,750,3, 118.61
铁路新村(杨浦)    ,330,2, 50.62
兰馨雅苑    ,920,3, 118.96
圣骊河滨苑    ,850,2, 104.16
仁恒怡庭    ,1165,3, 141.38
建信大楼    ,498,2, 87.55
政通路311弄    ,550,2, 71.17
广杭苑    ,530,2, 87.1
三门路510弄    ,240,2, 49.79
密云小区    ,495,2, 55.53
浣沙三村    ,515,3, 78.08
华升新苑    ,780,2, 102.04
现代星洲城    ,865,2, 109.44
文化花园香榭丽苑    ,755,3, 125.54
平盛苑    ,960,3, 146.16
望春都市家园    ,1050,3, 146.96
全家福家园    ,680,2, 101.43
密云小区    ,490,2, 66.2
开鲁二村    ,230,1, 45.15
四平路2100弄    ,310,2, 49.49
控江路1455弄    ,205,1, 35.88
鞍山三村    ,310,1, 49.21
凤城三村    ,268,2, 48.96
凤城三村    ,305,2, 51.01
中业大楼    ,260,1, 44
皇朝新城    ,800,4, 143.87
长阳新苑    ,830,3, 125.43
海鸿公寓    ,520,2, 77.23
银龙新村    ,260,2, 46
凤城三村    ,240,1, 45.45
市光四村    ,232,1, 51.44
双辽支路70弄    ,248,2, 43.11
延吉东路82弄    ,280,2, 48.61
密云小区    ,620,2, 83.83
大运盛城    ,650,2, 89.46
和平花苑    ,800,3, 112.09
国中公寓    ,780,2, 137.4
九龙仓玺园    ,1720,3, 167.31
创智坊(公寓)    ,1390,4, 211.82
凤城四村    ,245,2, 41.35
大诚花苑    ,810,3, 132.24
文化花园园中苑    ,1080,4, 155.6
控江路1200弄    ,740,3, 122.57
祥生御江湾(公寓)    ,1430,3, 185.34
铁路新村(杨浦)    ,355,2, 53.16
九龙仓玺园    ,1580,3, 173.21
三门路358弄    ,195,1, 41.15
控江二村    ,820,3, 113.46
加州水郡    ,2030,4, 228.53
控江二村    ,545,3, 75.24
国富苑    ,760,3, 154.32
市光三村    ,279,2, 57.69
金鹏花园    ,450,2, 70.94
中通雅苑    ,1000,3, 125
海上海新城(公寓)    ,1020,2, 134.48
莱茵半岛    ,1500,6, 290.86
北茶园    ,258,1, 44.31
控江路888弄    ,305,2, 51.12
松花江路223弄    ,225,1, 42.36
国和苑    ,315,2, 56.34
宝钢又一村    ,785,3, 128.06
鞍山六村    ,550,3, 99.24
建发璟墅    ,2400,4, 308.46
吉浦小区    ,525,3, 111.61
林绿家园    ,635,3, 91.73
百兴花园    ,610,3, 105.97
双花公寓    ,440,2, 66.97
控江六村    ,465,3, 63.69
政立路830弄    ,300,1, 51.15
银杨大厦    ,515,2, 87.12
保利香槟苑    ,1088,3, 119
鞍山三村    ,255,1, 37.25
市光四村    ,330,2, 62.2
控江四村    ,400,2, 73
怡福苑    ,475,2, 74.68
大运盛城    ,800,2, 123.69
控江四村    ,388,3, 81.78
怡佳苑    ,348,2, 64.57
文化名园    ,318,1, 54.03
鞍山四村第一小区    ,255,1, 37.6
联升大厦    ,615,2, 92.21
鞍山四村第三小区    ,365,2, 53.93
鞍山四村第三小区    ,240,1, 34.1
幸福公寓    ,540,2, 90.91
大连西路26弄    ,515,2, 54.01
凤城五村    ,560,3, 85.55
汇丰苑    ,780,3, 112
莱茵半岛    ,740,2, 110.38
大运盛城    ,850,3, 128.6
国富苑    ,730,3, 154.32
工农四村星源佳苑    ,760,3, 135.2
黄兴绿园    ,880,3, 126
新凤城    ,868,2, 102.52
莱茵半岛    ,920,3, 130.38
控江路18弄    ,598,3, 98.15
宝地东花园    ,920,2, 102
靖宇大楼    ,618,3, 116.47
石油大楼    ,555,3, 82.98
松苑小区    ,575,3, 98
新凤城    ,1080,3, 130.97
皇朝新城    ,758,2, 121.65
欧洲凯城园    ,1080,3, 138.15
华升新苑    ,1400,5, 186
大运盛城    ,860,3, 122.2
长阳新家    ,570,3, 120.16
华润置地橡树湾    ,2590,5, 258
平盛苑    ,950,3, 146.16
圣骊河滨苑    ,858,2, 108.87
大运盛城    ,800,3, 118.61
宁武小区    ,560,3, 97.81
控江四村    ,159,1, 37
民星二村    ,235,1, 50.87
兰花新村    ,175,1, 28.4
控江四村    ,196,1, 37.41
鞍山四村第一小区    ,250,1, 36.69
